hour_index,timestamp,global_horizontal_irradiance,direct_normal_irradiance,diffuse_horizontal_irradiance,dry_bulb_temperature,windspeed,albedo,solar_altitude_angle,solar_azimuth_angle,solar_incident_angle,horizon_elevation_angle,tracker_roll_angle,adjusted_ghi,poa_direct_irradiance,poa_diffuse_irradiance,poa_reflected_irradiance,shaded_direct_irradiance,shaded_diffuse_irradiance,shaded_reflected_irradiance,effective_direct_irradiance,effective_diffuse_irradiance,effective_reflected_irradiance,soiled_irradiance,total_irradiance,nameplate_power,avg_cell_temp,module_irradiance_derated_power,module_mpp_power,module_power,optimizer_input_power,optimizer_output_power,optimal_dc_power,optimal_dc_voltage,inverter_overpower_loss,inverter_underpower_loss,inverter_overvoltage_loss,inverter_undervoltage_loss,actual_dc_power,actual_dc_voltage,ac_power,grid_power
1,1/1/2004 0:00,0,0,0,8.47,1.24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1/1/2004 1:00,0,0,0,8.03,1.24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1/1/2004 2:00,0,0,0,7.68,1.24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1/1/2004 3:00,0,0,0,7.32,1.51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1/1/2004 4:00,0,0,0,6.97,1.51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1/1/2004 5:00,0,0,0,6.98,1.51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1/1/2004 6:00,0,0,0,7,1.22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1/1/2004 7:00,1,0,1,7.01,1.22,0,-3.4110742,115.442024,82.68586,0,,1,0,0.8660508,0.009369222,0,0.83527476,0,0,0.80295634,0,0.7684292,0.7684132,3286.4636,7.0286655,1492.6426,1579.9633,1548.8903,0,0,1548.8806,794.3219,0,0,0,226.38493,1322.4957,879.9995,1302.6582,1296.144897
9,1/1/2004 8:00,47,0,47,7.36,1.22,0,7.4873114,123.91595,69.39654,0,,47,0,47.025833,0.4403534,0,45.35472,0.05101316,0,43.599857,0.038439486,41.761852,41.760456,178607.84,8.374393,158452.28,170742.88,160947.75,0,0,161574.52,1044.8904,0,0,0,-433.37784,162007.89,1047.9261,159577.77,158779.875
10,1/1/2004 9:00,234,418,110,7.71,1.6,0,17.255898,133.9016,56.72149,0,,234,229.36888,140.5713,2.1923978,229.36888,135.57596,0.25398043,219.93655,130.33026,0.19137958,335.3885,335.38467,1434417.4,15.856768,1404622.4,1455937,1395412,0,0,1391527.9,1124.5587,0,0,0,0,1391527.9,1124.5587,1370655,1363801.75
11,1/1/2004 10:00,436,736,122,8.06,1.6,0,25.351603,145.9078,45.22402,0,,436,516.5255,161.23181,4.0849805,516.5255,155.50227,0.47322848,505.68427,149.48558,0.3565876,627.3388,627.3347,2683088.5,23.298437,2671224.2,2688405.8,2589649.8,0,0,2576002,1107.3666,0,0,0,0,2576002,1107.3666,2537362,2524675
12,1/1/2004 11:00,518,838,87,10.27,1.6,0,31.060555,160.17792,36.081684,0,,518,675.1217,119.35079,4.8532567,675.1217,115.109535,0.56223017,667.1097,110.65572,0.4236522,744.7269,744.7249,3185148.8,28.359957,3179408.8,3137960.5,3017228.8,0,0,2998238,1091.7396,0,0,0,0,2998238,1091.7396,2953264.5,2938498.25
13,1/1/2004 12:00,563,882,76,12.48,0.05,0,33.640232,176.23825,31.443127,0,,563,750.0107,98.95768,5.274872,750.0107,95.44112,0.61107254,743.5563,91.748314,0.46045598,799.82715,799.8225,3420799,31.90832,3417277.2,3326449.5,3191701.2,0,0,3169901.5,1077.1919,0,0,0,0,3169901.5,1077.1919,3122353,3106741.25
14,1/1/2004 13:00,542,861,79,14.69,0.05,0,32.661755,192.69234,33.25787,0,,542,717.4005,102.70602,5.078118,717.4005,99.056244,0.5882794,710.37463,95.22357,0.44328088,771.3817,771.37573,3299140.8,33.427315,3294537.8,3187704.8,3069132.8,0,0,3048554.8,1066.7755,0,0,0,0,3048554.8,1066.7755,3002826.5,2987812.5
15,1/1/2004 14:00,479,739,130,15.35,0.05,0,28.295795,207.89711,40.66897,0,,479,558.4365,172.07579,4.487857,558.4365,165.96089,0.5199001,549.54584,159.53954,0.3917556,678.96967,678.96454,2903886,31.8426,2894918,2818178.5,2717783.5,0,0,2701835.8,1073.7983,0,0,0,0,2701835.8,1073.7983,2661308,2648001.5
16,1/1/2004 15:00,253,260,159,16,1.31,0,21.191322,220.93819,51.29727,0,,253,162.59755,188.11694,2.370413,162.59755,181.432,0.27460277,157.72543,174.41205,0.20691894,318.0536,318.04672,1360271.1,23.725603,1329634.4,1336345.9,1284623,0,0,1281127.8,1089.6665,0,0,0,0,1281127.8,1089.6665,1261910.9,1255601.25
17,1/1/2004 16:00,176,451,81,16.66,1.31,0,12.106129,231.79167,63.534466,0,,176,201.87396,106.958534,1.648983,119.48032,103.157646,0.19102801,112.04945,99.166275,0.14394361,202.27121,202.19432,864800.3,21.571419,833840.1,842257.1,665346.44,0,0,663711.75,955.15564,0,0,0,10541.1,653170.6,986.0789,643373.06,640156.1875
18,1/1/2004 17:00,17,245,1,16.09,1.31,0,1.6664002,240.89128,76.59346,0,,17,42.640728,1.6660125,0.15927677,9.112302,1.606809,0.01845157,7.6028643,1.5446384,0.013903644,8.767466,8.786925,37595.992,16.303417,31600.76,32816.254,14216.626,0,0,15711.15,683.47943,0,0,0,3461.274,12249.876,884.7932,12066.128,12005.79688
19,1/1/2004 18:00,0,0,0,15.53,2.82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1/1/2004 19:00,0,0,0,14.96,2.82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1/1/2004 20:00,0,0,0,14.29,2.82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1/1/2004 21:00,0,0,0,13.62,3.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1/1/2004 22:00,0,0,0,12.96,3.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1/1/2004 23:00,0,0,0,12.56,3.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1/2/2004 0:00,0,0,0,12.16,3.63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1/2/2004 1:00,0,0,0,11.77,3.63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1/2/2004 2:00,0,0,0,11.46,3.63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1/2/2004 3:00,0,0,0,11.15,2.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1/2/2004 4:00,0,0,0,10.85,2.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1/2/2004 5:00,0,0,0,10.89,2.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1/2/2004 6:00,0,0,0,10.93,5.08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1/2/2004 7:00,2,27,1,10.97,5.08,0,-3.452366,115.311264,82.774216,0,,2,1.4457443,1.3138124,0.018738443,0,1.2671247,0,0,1.2180972,0,1.165719,1.1656675,4985.517,10.998315,2724.5547,2896.4036,2825.6177,0,0,2825.5884,826.24744,0,0,0,230.21082,2595.3777,879.99963,2556.447,2543.664795
33,1/2/2004 8:00,93,231,63,11.33,5.08,0,7.46057,123.780365,69.471725,0,,93,81.02106,83.54626,0.8713376,48.47709,80.577354,0.100940935,43.98887,77.45966,0.076061115,116.299034,116.26217,497240.4,14.154111,467022.2,488273.66,405910.16,0,0,405475.16,1028.753,0,0,0,-129.77023,405604.94,1034.7325,399520.84,397523.25
34,1/2/2004 9:00,153,106,122,11.69,2.12,0,17.24848,133.75812,56.778347,0,,153,57.279366,137.16724,1.4334909,57.279366,132.29285,0.16606413,54.915962,127.17419,0.1251328,174.38002,174.37587,745798.06,15.925725,712135.06,739203.94,708936.25,0,0,707892.75,1100.7257,0,0,0,0,707892.75,1100.7257,697274.4,693788
35,1/2/2004 10:00,346,404,173,12.06,2.12,0,25.369028,145.75702,45.253143,0,,346,284.2542,202.97458,3.2417505,284.2542,195.76167,0.3755437,278.27774,188.18727,0.28298005,446.67783,446.6707,1910387,22.909983,1887094.6,1902438.6,1828791.1,0,0,1821898.6,1103.2775,0,0,0,0,1821898.6,1103.2775,1794570.1,1785597.25
36,1/2/2004 11:00,313,140,241,13.8,2.12,0,31.107756,160.02707,36.067467,0,,313,112.647705,269.21558,2.9325662,112.647705,259.6487,0.33972594,111.31211,249.6024,0.25599062,345.64017,345.63132,1478247.4,22.195656,1448981.1,1465119,1409122.5,0,0,1404986.4,1097.7577,0,0,0,0,1404986.4,1097.7577,1383911.5,1376992
37,1/2/2004 12:00,115,0,115,15.54,4.72,0,33.718655,176.10225,31.370953,0,,115,0,107.30777,1.0774604,0,103.49448,0.12481944,0,99.490074,0.094054066,95.30201,95.29956,407589.7,17.854904,378337.16,390193.03,374755.3,0,0,374442.56,1065.1641,0,0,0,0,374442.56,1065.1641,368825.94,366981.8125
38,1/2/2004 13:00,372,227,250,17.29,4.72,0,32.767006,192.58653,33.13909,0,,372,188.75029,278.95035,3.4853504,188.75029,269.03757,0.40376374,186.91705,258.628,0.30424446,426.67776,426.6693,1824836.5,27.654142,1800283.8,1781211,1709434.8,0,0,1703195.6,1085.8298,0,0,0,0,1703195.6,1085.8298,1677647.8,1669259.5
39,1/2/2004 14:00,124,0,124,17.78,4.72,0,28.419355,207.82724,40.532578,0,,124,0,117.16594,1.1617835,0,113.00233,0.13458791,0,108.63004,0.101414815,104.05601,104.05349,445030.88,20.307543,414902.84,423383.06,405838.38,0,0,405466.9,1058.1655,0,0,0,0,405466.9,1058.1655,399384.9,397387.9688
40,1/2/2004 15:00,92,0,92,18.28,4.43,0,21.324812,220.89993,51.159824,0,,92,0,86.40751,0.86196834,0,83.33692,0.09985555,0,80.11246,0.07524325,76.73963,76.73698,328200.94,20.144001,301269.88,307794.8,295913.53,0,0,295709.75,1044.8086,0,0,0,0,295709.75,1044.8086,291274.1,289817.7188
41,1/2/2004 16:00,74,2,74,18.78,4.43,0,12.243743,231.77734,63.40148,0,,74,0,72.55278,0.69332236,0,69.97453,0.08031859,0,67.26709,0.060521744,64.43252,64.42876,275559.06,20.345024,250588.95,255860.97,245987.98,0,0,245846.38,1037.4204,0,0,0,0,245846.38,1037.4204,242158.67,240947.875
42,1/2/2004 17:00,15,68,11,18.2,4.43,0,1.8048477,240.89441,76.46656,0,,15,10.759208,13.530288,0.14053832,2.2533884,13.049475,0.016280796,1.8845909,12.544565,0.012267921,13.820442,13.820914,59114.83,18.535715,48698.887,50277.664,41970.35,0,0,42954.78,933.6586,0,0,0,-181.49242,43136.273,949.1606,42489.23,42276.78516
43,1/2/2004 18:00,0,0,0,17.63,4.96,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1/2/2004 19:00,0,0,0,17.05,4.96,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1/2/2004 20:00,0,0,0,16.59,4.96,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1/2/2004 21:00,0,0,0,16.13,6.16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1/2/2004 22:00,0,0,0,15.67,6.16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1/2/2004 23:00,0,0,0,15.8,6.16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1/3/2004 0:00,0,0,0,15.93,6.92,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1/3/2004 1:00,0,0,0,16.07,6.92,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1/3/2004 2:00,0,0,0,15.67,6.92,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1/3/2004 3:00,0,0,0,15.28,5.74,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1/3/2004 4:00,0,0,0,14.88,5.74,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1/3/2004 5:00,0,0,0,14.61,5.74,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1/3/2004 6:00,0,0,0,14.34,3.96,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1/3/2004 7:00,1,6,1,14.06,3.96,0,-3.4883878,115.17495,82.85988,0,,1,0,0.86921805,0.009369222,0,0.83832943,0,0,0.8058929,0,0.77123946,0.77122337,3298.4827,14.078733,1501.0742,1556.9608,1526.4321,0,0,1526.422,764.72003,0,0,0,457.29556,1069.1265,879.9995,1053.0896,1047.824097
57,1/3/2004 8:00,58,56,51,14.64,3.96,0,7.4396033,123.63983,69.54346,0,,58,18.894491,61.112793,0.54341483,11.230533,58.941086,0.062952414,10.185388,56.660538,0.04743596,64.016945,63.999603,273721.75,16.194603,248942.22,258815.4,235537.1,0,0,235408.84,1046.4166,0,0,0,-50.41871,235459.27,1046.7,231927.38,230767.7344
58,1/3/2004 9:00,104,0,104,15.22,5.4,0,17.247408,133.6104,56.83087,0,,104,0,101.39053,0.97439903,0,97.78751,0.112880185,0,94.00392,0.08505759,90.04315,90.040565,385097.62,17.407158,356434.84,368353.1,353180.8,0,0,352902.66,1065.1354,0,0,0,0,352902.66,1065.1354,347609.12,345871.0625
59,1/3/2004 10:00,205,29,193,15.79,5.4,0,25.39337,145.60301,45.276882,0,,205,19.691172,193.30333,1.9206904,19.691172,186.43408,0.22250421,19.276577,179.2206,0.16766159,190.12224,190.11765,813127.1,20.408102,779292.5,794176.56,763944.1,0,0,762692.6,1083.909,0,0,0,0,762692.6,1083.909,751252.25,747496
60,1/3/2004 11:00,254,29,239,17.35,5.4,0,31.1623,159.87463,36.046715,0,,254,23.437496,239.30139,2.3797822,23.437496,230.79755,0.27568814,23.159994,221.86755,0.2077368,234.69017,234.68709,1003744.94,23.050734,970245.6,977958.44,938082.06,0,0,936190.1,1083.0032,0,0,0,0,936190.1,1083.0032,922147.3,917536.5625
61,1/3/2004 12:00,215,8,211,18.92,8.02,0,33.804512,175.96683,31.291557,0,,215,6.143747,206.4577,2.0143826,6.143747,199.121,0.23335809,6.0914555,191.41663,0.1758402,189.18352,189.17508,809092.6,23.515211,775266.1,780026.1,747155.44,0,0,745936.1,1074.4387,0,0,0,0,745936.1,1074.4387,734747.1,731073.375
62,1/3/2004 13:00,208,9,203,20.48,8.02,0,32.87932,192.48363,33.013847,0,,208,7.723183,198.3443,1.9487981,7.723183,191.29593,0.22576037,7.648828,183.89432,0.17011517,183.46959,183.46025,784652.3,24.93639,750870.1,751033.94,721600.8,0,0,720435.4,1064.1327,0,0,0,0,720435.4,1064.1327,709628.8,706080.6875
63,1/3/2004 14:00,182,14,175,20.61,8.02,0,28.54919,207.76207,40.39148,0,,182,11.155675,170.66164,1.7051983,11.155675,164.59698,0.19754033,10.981108,158.22841,0.14885078,162.07596,162.07164,693170.1,24.54685,659772.3,661003.6,636017.56,0,0,635106.56,1057.951,0,0,0,0,635106.56,1057.951,625579.94,622452.0625
64,1/3/2004 15:00,341,525,149,20.75,6.54,0,21.463634,220.86746,51.019318,0,,341,330.07843,185.41168,3.1949046,330.07843,178.82289,0.37011677,320.34644,171.90388,0.27889076,471.35046,471.34344,2015913.8,32.1993,1994203.9,1937520.6,1866143.4,0,0,1858473.1,1067.0867,0,0,0,0,1858473.1,1067.0867,1830596,1821443
65,1/3/2004 16:00,93,48,83,20.88,6.54,0,12.385773,231.76935,63.266712,0,,93,20.972168,82.48283,0.8713376,12.035165,79.55171,0.100940935,11.299201,76.4737,0.076061115,84.07146,84.06373,359538.6,22.92197,331726.03,334727.8,308622.94,0,0,308396.66,1032.2593,0,0,0,-806.94446,309203.6,1035.1156,304565.56,303042.7188
66,1/3/2004 17:00,18,116,10,20.39,6.54,0,1.9469206,240.90422,76.338875,0,,18,21.717604,16.334044,0.16864598,4.579343,15.753595,0.019536955,3.8388455,15.144058,0.014721505,18.180727,18.18408,77781.16,20.831692,65573.7,66898.34,52618.89,0,0,53290.85,898.4777,0,0,0,-400.59058,53691.44,933.1141,52886.07,52621.64063
67,1/3/2004 18:00,0,0,0,19.9,4.45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1/3/2004 19:00,0,0,0,19.41,4.45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1/3/2004 20:00,0,0,0,18.92,4.45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1/3/2004 21:00,0,0,0,18.43,6.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1/3/2004 22:00,0,0,0,17.93,6.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1/3/2004 23:00,0,0,0,17.69,6.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1/4/2004 0:00,0,0,0,17.45,6.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1/4/2004 1:00,0,0,0,17.21,6.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1/4/2004 2:00,0,0,0,16.83,6.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1/4/2004 3:00,0,0,0,16.44,5.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1/4/2004 4:00,0,0,0,16.06,5.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1/4/2004 5:00,0,0,0,15.73,5.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1/4/2004 6:00,0,0,0,15.39,5.66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1/4/2004 7:00,0,0,0,15.06,5.66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1/4/2004 8:00,15,0,15,15.66,5.66,0,7.4244566,123.49444,69.61167,0,,15,0,12.403302,0.14053832,0,11.962538,0.016280796,0,11.499684,0.012267921,11.016938,11.016429,47116.89,15.927597,38020.152,39786.176,38257.508,0,0,38253.47,955.5596,0,0,0,0,38253.47,955.5596,37679.668,37491.26953
82,1/4/2004 9:00,48,0,48,16.25,7.05,0,17.252705,133.45853,56.879013,0,,48,0,43.2755,0.44972262,0,41.73766,0.05209855,0,40.12275,0.039257348,38.43504,38.433884,164379.55,17.18359,145101.84,150431.95,142361.84,0,0,142309.83,994.0622,0,0,0,-627.75555,142937.58,999.66504,140793.52,140089.5469
83,1/4/2004 10:00,74,0,74,16.85,7.05,0,25.424631,145.4459,45.29522,0,,74,0,67.825836,0.69332236,0,65.41557,0.08031859,0,62.884518,0.060521744,60.2384,60.236347,257628.36,18.313187,233418.7,240509.05,230925.7,0,0,230801.89,1040.8516,0,0,0,0,230801.89,1040.8516,227339.86,226203.1719
84,1/4/2004 11:00,91,0,91,18.29,7.05,0,31.224176,159.72072,36.019444,0,,91,0,83.97274,0.85259914,0,80.98868,0.098770164,0,77.85507,0.07442539,74.57853,74.57569,318956.53,20.101501,292342.9,298745.2,286439.03,0,0,286247.4,1039.8899,0,0,0,0,286247.4,1039.8899,281953.7,280543.9063
85,1/4/2004 12:00,182,1,181,19.73,8.9,0,33.897774,175.8321,31.204971,0,,182,1.5336195,174.48161,1.7051983,1.5336195,168.28122,0.19754033,1.5206486,161.7701,0.14885078,156.4117,156.40598,668940.56,23.529224,635706.56,639635.8,615217.75,0,0,614373,1062.083,0,0,0,0,614373,1062.083,605157.4,602131.625
86,1/4/2004 13:00,172,1,171,21.17,8.9,0,32.998627,192.38371,32.882187,0,,172,1.5419748,164.33066,1.6115061,1.5419748,158.491,0.18668647,1.5272661,152.35867,0.14067216,147.40346,147.39972,630418.5,24.75046,597504.06,598112.94,575040.9,0,0,574291.44,1055.6454,0,0,0,0,574291.44,1055.6454,565677.06,562848.6875
87,1/4/2004 14:00,148,0,148,21.52,8.9,0,28.685232,207.70166,40.245758,0,,148,0,141.8645,1.3866447,0,136.82318,0.16063718,0,131.52924,0.12104349,125.98932,125.985016,538829.9,24.580278,507006.06,507903.12,486993.06,0,0,486451.97,1052.7212,0,0,0,0,486451.97,1052.7212,479155.2,476759.4063
88,1/4/2004 15:00,130,5,128,21.87,7.79,0,21.607698,220.8408,50.875866,0,,130,3.427039,124.29089,1.2179987,3.427039,119.874084,0.14110024,3.3268356,115.23592,0.10632198,113.566315,113.563644,485705.25,24.628551,454760.28,455477.44,437033.06,0,0,436591.16,1043.6943,0,0,0,0,436591.16,1043.6943,430042.28,427892.0625
89,1/4/2004 16:00,134,208,89,22.23,7.79,0,12.532119,231.76773,63.130283,0,,134,93.730774,108.9471,1.2554756,54.128933,105.07555,0.14544179,50.84718,101.00997,0.10959343,145.43217,145.39244,621847.9,25.761679,590012.25,587327.9,496148.53,0,0,495469.44,1006.1872,0,0,0,1951.9692,493517.47,1011.2499,486114.72,483684.125
90,1/4/2004 17:00,11,7,11,21.31,7.79,0,2.0925124,240.92078,76.2105,0,,11,0,9.795175,0.10306144,0,9.447092,0.011939251,0,9.081566,0.008996476,8.699668,8.699155,37205.92,21.521309,29385.22,29916.057,28914.387,0,0,28911.926,925.40375,0,0,0,67.16764,28844.758,929.491,28412.086,28270.02539
91,1/4/2004 18:00,0,0,0,20.39,6.37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,1/4/2004 19:00,0,0,0,19.48,6.37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1/4/2004 20:00,0,0,0,18.95,6.37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1/4/2004 21:00,0,0,0,18.42,9.11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,1/4/2004 22:00,0,0,0,17.89,9.11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,1/4/2004 23:00,0,0,0,17.69,9.11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,1/5/2004 0:00,0,0,0,17.49,7.82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1/5/2004 1:00,0,0,0,17.29,7.82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1/5/2004 2:00,0,0,0,17.15,7.82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1/5/2004 3:00,0,0,0,17.02,8.09,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1/5/2004 4:00,0,0,0,16.88,8.09,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,1/5/2004 5:00,0,0,0,16.86,8.09,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,1/5/2004 6:00,0,0,0,16.84,6.21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,1/5/2004 7:00,1,0,1,16.81,6.21,0,-3.5443738,114.88606,83.02278,0,,1,0,0.87220025,0.009369222,0,0.8412057,0,0,0.8086578,0,0.77388555,0.773856,3309.7363,16.828798,1508.9629,1551.8104,1521.5267,0,0,1521.5164,754.2174,0,0,0,542.01166,979.5047,879.99927,964.81213,959.9880371
105,1/5/2004 8:00,46,0,46,16.96,6.21,0,7.415171,123.344284,69.67629,0,,46,0,45.851543,0.43098417,0,44.22216,0.049927775,0,42.511116,0.037621625,40.719143,40.717297,174145.94,17.949055,154259.88,159350.03,151881.02,0,0,151824.05,1010.7919,0,0,0,0,151824.05,1010.7919,149546.69,148798.9531
106,1/5/2004 9:00,200,206,139,17.1,6.77,0,17.264397,133.3026,56.922733,0,,200,112.17658,158.29932,1.8738443,112.17658,152.67398,0.21707729,107.50849,146.76672,0.16357228,243.49792,243.4947,1041414.4,23.014677,1008096.1,1016237.9,976770.7,0,0,974726.6,1084.3676,0,0,0,0,974726.6,1084.3676,960105.7,955305.1875
107,1/5/2004 10:00,75,0,75,17.24,6.77,0,25.462814,145.28578,45.30814,0,,75,0,68.794075,0.7026916,0,66.3494,0.081403986,0,63.782215,0.061339606,61.09828,61.096233,261306.22,18.724075,236936.47,243686.25,234184.19,0,0,234056.6,1041.3423,0,0,0,0,234056.6,1041.3423,230545.75,229393.0156
108,1/5/2004 11:00,92,0,92,17.33,6.77,0,31.293365,159.56538,35.985664,0,,92,0,84.9402,0.86196834,0,81.92175,0.09985555,0,78.752045,0.07524325,75.43771,75.43553,322632.88,19.16239,295891.72,303602.6,291294,0,0,291098.75,1048.8647,0,0,0,0,291098.75,1048.8647,286732.28,285298.5938
109,1/5/2004 12:00,101,0,101,17.41,6.66,0,33.9984,175.69817,31.111227,0,,101,0,93.55451,0.9462913,0,90.22995,0.10962403,0,86.73878,0.082604006,83.088066,83.08584,355355.56,19.428217,327552,335640.03,321803.62,0,0,321564.7,1044.7184,0,0,0,0,321564.7,1044.7184,316741.22,315157.5
110,1/5/2004 13:00,95,0,95,17.5,6.66,0,33.124886,192.28687,32.744175,0,,95,0,87.76435,0.89007604,0,84.64555,0.103111714,0,81.37045,0.07769684,77.94588,77.94475,333365.8,19.39334,306262.7,313911.38,300301.88,0,0,300093.4,1043.965,0,0,0,0,300093.4,1043.965,295592,294114.0625
111,1/5/2004 14:00,125,0,125,16.41,6.66,0,28.827398,207.64613,40.09552,0,,125,0,118.066086,1.1711527,0,113.87048,0.1356733,0,109.464615,0.10223268,104.85547,104.85065,448441.16,18.956903,418239.72,429241.2,409920.38,0,0,409544.5,1061.8333,0,0,0,0,409544.5,1061.8333,403401.34,401384.3438
112,1/5/2004 15:00,63,0,63,15.32,6.12,0,21.75691,220.82007,50.72959,0,,63,0,57.431995,0.5902609,0,55.391087,0.06837934,0,53.2479,0.05152527,51.00755,51.004837,218145.72,16.558947,195804.06,203408.16,195370.03,0,0,195280.88,1041.7091,0,0,0,0,195280.88,1041.7091,192351.66,191389.9063
113,1/5/2004 16:00,55,0,55,14.24,6.12,0,12.682678,231.77257,62.992306,0,,55,0,51.27582,0.5153072,0,49.453682,0.059696253,0,47.540222,0.044982377,45.539043,45.537743,194762.05,15.3461485,173670.81,181448.98,172464.56,0,0,172391.03,1017.3412,0,0,0,-451.02548,172842.06,1020.23395,170249.42,169398.1719
114,1/5/2004 17:00,7,0,7,13.11,6.12,0,2.241516,240.94408,76.081566,0,,7,0,5.7884345,0.06558455,0,5.5827365,0.007597705,0,5.3667293,0.00572503,5.141439,5.141229,21988.816,13.234884,16409.846,17431.14,16856.32,0,0,16855.492,929.78625,0,0,0,13.206759,16842.285,932.6381,16589.65,16506.70117
115,1/5/2004 18:00,0,0,0,11.99,4.55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,1/5/2004 19:00,0,0,0,10.86,4.55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,1/5/2004 20:00,0,0,0,9.58,4.55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,1/5/2004 21:00,0,0,0,8.3,7.26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,1/5/2004 22:00,0,0,0,7.02,7.26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,1/5/2004 23:00,0,0,0,6.08,7.26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
