"PVWatts Hourly PV Performance Data"
"Requested Location","94123, USA"
"Location","Lat, Lng: 37.81, -122.42"
"Latitude (DD)","37.81"
"Longitude (DD)","-122.42"
"Elevation (m)","0"
"DC System Size (kW)","1000"
"Module Type","Premium"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","3","15","0","84","9","1.9","0.05","82.302","11.019","69332.584","62912.293"
"1","3","16","0","14","8","2","0.05","12.936","8.294","8523.656","4258.066"
"1","3","17","0","0","8","2.1","0.05","0","8","0","0"
"1","3","18","0","0","8","2.2","0.05","0","8","0","0"
"1","3","19","0","0","7","2.1","0.05","0","7","0","0"
"1","3","20","0","0","7","1.9","0.05","0","7","0","0"
"1","3","21","0","0","6","1.6","0.05","0","6","0","0"
"1","3","22","0","0","6","1.3","0.05","0","6","0","0"
"1","3","23","0","0","6","0.9","0.05","0","6","0","0"
"1","4","0","0","0","7","0.8","0.05","0","7","0","0"
"1","4","1","0","0","7","1","0.05","0","7","0","0"
"1","4","2","0","0","7","1.2","0.05","0","7","0","0"
"1","4","3","0","0","7","1.3","0.05","0","7","0","0"
"1","4","4","0","0","7","1.3","0.05","0","7","0","0"
"1","4","5","0","0","7","1.3","0.05","0","7","0","0"
"1","4","6","0","0","7","1.2","0.05","0","7","0","0"
"1","4","7","0","0","7","1","0.05","0","0","0","0"
"1","4","8","94","63","8","1","0.05","106.12","11.173","87760.125","80686.872"
"1","4","9","59","125","9","1.1","0.05","162.637","13.792","140206.09","131274.468"
"1","4","10","397","152","10","1.1","0.05","450.324","23.293","388818.724","371077.769"
"1","4","11","621","127","11","1.1","0.05","624.12","29.422","530177.673","507427.808"
"1","4","12","420","184","12","1.2","0.05","540.023","27.534","458530.976","438319.838"
"1","4","13","429","164","12","1.2","0.05","504.338","26.52","430576.441","411355.843"
"1","4","14","14","137","11","1","0.05","143.01","15.314","121397.302","113132.15"
"1","4","15","0","12","10","1","0.05","11.082","10.334","8612.359","4343.626"
"1","4","16","5","29","9","1.3","0.05","29.642","9.789","20455.364","15766.987"
"1","4","17","0","0","8","1.6","0.05","0","8","0","0"
"1","4","18","0","0","8","1.8","0.05","0","8","0","0"
"1","4","19","0","0","8","1.8","0.05","0","8","0","0"
"1","4","20","0","0","8","1.6","0.05","0","8","0","0"
"1","4","21","0","0","8","1.4","0.05","0","8","0","0"
"1","4","22","0","0","8","1.2","0.05","0","8","0","0"
"1","4","23","0","0","8","1.1","0.05","0","8","0","0"
"1","5","0","0","0","8","1.1","0.05","0","8","0","0"
"1","5","1","0","0","8","1.1","0.05","0","8","0","0"
"1","5","2","0","0","8","1.1","0.05","0","8","0","0"
"1","5","3","0","0","8","1.2","0.05","0","8","0","0"
"1","5","4","0","0","8","1.5","0.05","0","8","0","0"
"1","5","5","0","0","8","1.8","0.05","0","8","0","0"
"1","5","6","0","0","8","1.9","0.05","0","8","0","0"
"1","5","7","0","0","8","1.9","0.05","0","0","0","0"
"1","5","8","0","23","9","1.8","0.05","21.26","9.53","16790.461","12231.945"
"1","5","9","0","99","10","1.7","0.05","95.538","12.447","80771.708","73946.082"
"1","5","10","26","163","11","1.6","0.05","178.011","15.658","151819.28","142476.157"
"1","5","11","0","105","11","1.4","0.05","98.61","13.694","82379.157","75496.574"
"1","5","12","0","117","12","1.1","0.05","110.5","15.242","92068.161","84842.258"
"1","5","13","0","72","11","0.9","0.05","66.749","13.062","55158.847","49240.787"
"1","5","14","0","116","11","0.6","0.05","111.735","14.75","94035.742","86740.12"
"1","5","15","27","93","10","0.3","0.05","109.387","14.01","92233.016","85001.271"
"1","5","16","0","23","10","0.2","0.05","21.287","10.771","14763.653","10276.956"
"1","5","17","0","0","10","0.4","0.05","0","10","0","0"
"1","5","18","0","0","10","0.6","0.05","0","10","0","0"
"1","5","19","0","0","9","0.9","0.05","0","9","0","0"
"1","5","20","0","0","9","1","0.05","0","9","0","0"
"1","5","21","0","0","9","1.1","0.05","0","9","0","0"
"1","5","22","0","0","8","1.1","0.05","0","8","0","0"
"1","5","23","0","0","8","1.1","0.05","0","8","0","0"
"1","6","0","0","0","8","1.2","0.05","0","8","0","0"
"1","6","1","0","0","8","1.2","0.05","0","8","0","0"
"1","6","2","0","0","7","1.5","0.05","0","7","0","0"
"1","6","3","0","0","7","1.8","0.05","0","7","0","0"
"1","6","4","0","0","7","1.9","0.05","0","7","0","0"
"1","6","5","0","0","6","1.9","0.05","0","6","0","0"
"1","6","6","0","0","6","1.8","0.05","0","6","0","0"
"1","6","7","0","0","6","1.9","0.05","0","0","0","0"
"1","6","8","0","30","7","2.2","0.05","27.752","7.638","22345.439","17590.089"
"1","6","9","366","108","9","2.2","0.05","332.131","16.715","292730.479","278394.311"
"1","6","10","577","117","10","1.9","0.05","536.25","23.226","466337.259","445849.513"
"1","6","11","758","90","11","1.6","0.05","682.343","28.934","582630.551","558022.072"
"1","6","12","865","79","12","1.5","0.05","763.195","32.511","643967.521","617185.628"
"1","6","13","626","118","12","1.5","0.05","600.239","28.129","512850.654","490714.753"
"1","6","14","525","109","12","1.6","0.05","458.299","24.057","396919.108","378891.123"
"1","6","15","455","72","11","1.6","0.05","306.157","19.027","264095.229","250773.723"
"1","6","16","144","32","9","1.7","0.05","80.937","10.961","57183.759","51193.948"
"1","6","17","0","0","9","1.9","0.05","0","9","0","0"
"1","6","18","0","0","9","2.1","0.05","0","9","0","0"
"1","6","19","0","0","8","2.4","0.05","0","8","0","0"
"1","6","20","0","0","8","2.6","0.05","0","8","0","0"
"1","6","21","0","0","8","2.8","0.05","0","8","0","0"
"1","6","22","0","0","8","3","0.05","0","8","0","0"
"1","6","23","0","0","8","3.3","0.05","0","8","0","0"
"1","7","0","0","0","8","3.7","0.05","0","8","0","0"
"1","7","1","0","0","8","4.3","0.05","0","8","0","0"
"1","7","2","0","0","7","5","0.05","0","7","0","0"
"1","7","3","0","0","7","5.5","0.05","0","7","0","0"
"1","7","4","0","0","7","5.8","0.05","0","7","0","0"
"1","7","5","0","0","7","6.1","0.05","0","7","0","0"
"1","7","6","0","0","7","6.1","0.05","0","7","0","0"
"1","7","7","0","0","8","5.8","0.05","0","0","0","0"
"1","7","8","0","2","9","5.4","0.05","1.845","9.026","1306.079","0"
"1","7","9","0","97","10","5.1","0.05","93.328","11.38","79160.219","72391.695"
"1","7","10","0","18","11","4.8","0.05","16.646","11.255","13104.543","8676.634"
"1","7","11","0","117","12","4.3","0.05","110.596","13.811","92728.048","85478.762"
"1","7","12","0","61","13","4.7","0.05","56.535","13.877","46117.779","40520.08"
"1","7","13","288","193","12","6.2","0.05","428.033","17.577","374686.357","357446.167"
"1","7","14","360","139","11","6.6","0.05","382.13","15.78","338374.528","322421.01"
"1","7","15","39","97","10","5.8","0.05","119.497","11.625","102135.497","94552.867"
"1","7","16","0","26","9","5","0.05","24.412","9.353","17656.677","13067.468"
"1","7","17","0","0","9","4.3","0.05","0","9","0","0"
"1","7","18","0","0","8","3.7","0.05","0","8","0","0"
"1","7","19","0","0","8","3.3","0.05","0","8","0","0"
